Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",4,4.11,Tor Books,Mass Market Paperback,382,1994,1986,2012/04/09,2012/04/07,,,read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",3,3.96,HarperCollins Children's Books,Hardcover,525,2012,2012,2012/05/16,2011/12/11,,,read,,,,1,0
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",4,4.24,Harpertorch,Mass Market Paperback,243,2001,1987,2012/05/13,2012/05/11,,,read,,,,1,0
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",3,3.78,Tor Books,Paperback,370,2002,1996,2012/05/11,2012/05/07,,,read,,,,1,0
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0312861877""","=""9780312861872""",3,3.82,Tor Books,Mass Market Paperback,592,1996,1991,2012/05/07,2012/04/12,,,read,,,,1,0
34507,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855908""","=""9780060855901""",3,4.07,First Harper ,Paperback,228,2005,1987,2012/04/12,2012/04/09,,,read,,,,1,0
34506,"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020702""","=""9780061020704""",4,4.01,HarperTorch,Mass Market Paperback,277,2000,1986,2012/04/07,2012/04/03,,,read,,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.31,Tor,Mass Market Paperback,324,2004,1985,2012/04/03,2012/03/14,,,read,,,,1,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",4,3.99,Harper,Paperback,228,2005,1983,2012/04/01,2012/03/17,,,read,,,,1,0
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",4,4.14,Voyager,Paperback,278,2003,1974,2012/03/17,2011/12/11,,,read,,,,1,0
98785,Backwards (Red Dwarf #3),Rob Grant,"Grant, Rob",,"=""0140171509""","=""9780140171501""",4,3.98,Penguin Books,Paperback,342,,1996,,2012/03/12,,,read,,,,1,0
98783,"Last Human (Red Dwarf, #4)",Doug Naylor,"Naylor, Doug",,"=""0140143882""","=""9780140143881""",4,3.86,Penguin,Paperback,310,1995,1995,,2012/03/12,,,read,,,,1,0
73051,Better than Life (Red Dwarf #2),Grant Naylor,"Naylor, Grant",,"=""0451452313""","=""9780451452313""",4,4.09,Roc,Mass Market Paperback,302,1993,1990,2012/03/12,2012/03/07,,,read,,,,1,0
349090,"Infinity Welcomes Careful Drivers (Red Dwarf, #1)",Grant Naylor,"Naylor, Grant",,"=""0451452011""","=""9780451452016""",5,4.08,Roc,Mass Market Paperback,298,1992,1989,2012/03/07,2012/02/20,,,read,,,,1,0
6661288,The Android's Dream,John Scalzi,"Scalzi, John",,"=""""","=""""",1,3.99,,Kindle Edition,398,2010,2006,,2011/12/28,abandoned,abandoned (#4),abandoned,,,,0,0
